unix_time,unique,page_views,subscriptions
1562371200,0,0,0
1562284800,14685,94884,131
1562198400,12745,86982,108
1562112000,18895,127956,172
1562025600,18975,144589,155
1561939200,20473,152881,160
1561852800,12011,54327,239
1561766400,11334,53276,111
1561680000,13551,63901,115
1561593600,14350,69959,159
1561507200,16066,76415,175
1561420800,16865,80206,139
1561334400,17591,84796,149
1561248000,11621,56222,163
1561161600,11746,55341,184
1561075200,14550,71116,176
1560988800,16330,78965,193
1560902400,19153,87431,180
1560816000,18728,86513,180
1560729600,18489,84035,186
1560643200,12049,55843,146
1560556800,12207,58525,180
1560470400,16213,72197,560
1560384000,15293,73491,134
1560297600,16461,76481,169
1560211200,16552,74689,175
1560124800,14123,66912,174
1560038400,11257,54304,173
1559952000,11497,54459,164
1559865600,14712,69163,172
1559779200,16420,78630,215
1559692800,16687,76429,184
1559606400,16172,70752,165
1559520000,15688,68540,306
1559433600,10686,47990,151
1559347200,11183,50887,133
1559260800,14400,69079,198
1559174400,14513,67834,169
1559088000,14969,68206,172
1559001600,14891,69615,236
1558915200,11208,52935,163
1558828800,10546,51075,190
1558742400,11203,53635,321
1558656000,12639,61245,139
1558569600,13734,73094,123
1558483200,16050,84031,157
1558396800,16225,80676,164
1558310400,14060,68833,137
1558224000,11722,58599,144
1558137600,11666,58723,136
1558051200,15313,77712,270
1557964800,14519,75742,168
1557878400,15585,74028,232
1557792000,15506,69818,330
1557705600,14070,65267,131
1557619200,12004,54349,149
1557532800,10950,51294,115
